date,deaths,people_vaccinated,people_fully_vaccinated,timepoint,people_vaccinated_change,deaths_change,people_fully_vaccinated_change
2020-12-13,299338,36817,9669,1,0,0,0
2020-12-14,301016,41465,9833,2,4648,1678,164
2020-12-15,304041,87883,10161,3,46418,3025,328
2020-12-16,307652,243398,10679,4,155515,3611,518
2020-12-17,310950,511644,11505,5,268246,3298,826
2020-12-18,313820,923222,12831,6,411578,2870,1326
2020-12-19,316381,1103020,13990,7,179798,2561,1159
2020-12-20,317810,1207930,14813,8,104910,1429,823
2020-12-21,319773,1587344,16487,9,379414,1963,1674
2020-12-22,323012,2029284,19503,10,441940,3239,3016
2020-12-23,326424,2595428,22769,11,566144,3412,3266
2020-12-24,329248,2788297,24017,12,192869,2824,1248
2020-12-25,330377,2800935,24155,13,12638,1129,138
2020-12-26,332023,2940849,25225,14,139914,1646,1070
2020-12-27,333253,3034790,26034,15,93941,1230,809
2020-12-28,335152,3617005,30521,16,582215,1899,4487
2020-12-29,338780,4326189,36033,17,709184,3628,5512
2020-12-30,342588,5154420,43704,18,828231,3808,7671
2020-12-31,346050,5570284,47241,19,415864,3462,3537
2021-01-01,347970,5694637,56597,20,124353,1920,9356
2021-01-02,350343,5954167,59709,21,259530,2373,3112
2021-01-03,351694,6087979,62303,22,133812,1351,2594
2021-01-04,353743,6693548,107970,23,605569,2049,45667
2021-01-05,357432,7431907,196522,24,738359,3689,88552
2021-01-06,361396,8268139,371487,25,836232,3964,174965
2021-01-07,365509,9138645,655638,26,870506,4113,284151
2021-01-08,369404,9989310,1023633,27,850665,3895,367995
2021-01-09,372663,10361380,1153675,28,372070,3259,130042
2021-01-10,374440,10538948,1223570,29,177568,1777,69895
2021-01-11,376488,11265251,1550632,30,726303,2048,327062
2021-01-12,380894,12187080,1868119,31,921829,4406,317487
2021-01-13,384824,13222990,2141448,32,1035910,3930,273329
2021-01-14,388804,14385052,2279153,33,1162062,3980,137705
2021-01-15,392553,15508950,2401789,34,1123898,3749,122636
2021-01-16,395894,16076975,2474991,35,568025,3341,73202
2021-01-17,397624,16333247,2517266,36,256272,1730,42275
2021-01-18,399065,16978110,2746764,37,644863,1441,229498
2021-01-19,401836,17946827,3107581,38,968717,2771,360817
2021-01-20,406216,19108490,3532501,39,1161663,4380,424920
2021-01-21,410351,20447780,3811415,40,1339290,4135,278914
2021-01-22,414082,21853861,4024485,41,1406081,3731,213070
2021-01-23,417404,22598456,4177806,42,744595,3322,153321
2021-01-24,419219,22905931,4267342,43,307475,1815,89536
2021-01-25,421126,23771374,4761605,44,865443,1907,494263
2021-01-26,425224,24826877,5347952,45,1055503,4098,586347
2021-01-27,429326,26077399,6000698,46,1250522,4102,652746
2021-01-28,433194,27448006,6563770,47,1370607,3868,563072
2021-01-29,436794,28824725,7063931,48,1376719,3600,500161
2021-01-30,439435,29581867,7309441,49,757142,2641,245510
2021-01-31,441299,29904700,7439022,50,322833,1864,129581
2021-02-01,443249,30689278,8025696,51,784578,1950,586674
2021-02-02,446860,31658111,8731841,52,968833,3611,706145
2021-02-03,450703,32922119,9573333,53,1264008,3843,841492
2021-02-04,455820,34310101,10493690,54,1387982,5117,920357
2021-02-05,459390,35667252,11461790,55,1357151,3570,968100
2021-02-06,462052,36521023,11886941,56,853771,2662,425151
2021-02-07,463353,36796219,12045089,57,275196,1301,158148
2021-02-08,464936,37635054,12755772,58,838835,1583,710683
2021-02-09,468106,38671322,13659168,59,1036268,3170,903396
2021-02-10,471360,39902399,14704438,60,1231077,3254,1045270
2021-02-11,475238,41179619,15805159,61,1277220,3878,1100721
2021-02-12,480701,42566921,16971653,62,1387302,5463,1166494
2021-02-13,484073,43439991,17545883,63,873070,3372,574230
2021-02-14,485154,43783854,17777513,64,343863,1081,231630
2021-02-15,486148,44401512,18323001,65,617658,994,545488
2021-02-16,487855,45198913,19115477,66,797401,1707,792476
2021-02-17,490326,46135232,20111570,67,936319,2471,996093
2021-02-18,492951,46968799,21092098,68,833567,2625,980528
2021-02-19,495572,47788087,22195115,69,819288,2621,1103017
2021-02-20,497403,48384342,22880324,70,596255,1831,685209
2021-02-21,498650,48639402,23207465,71,255060,1247,327141
2021-02-22,500104,49254909,24016800,72,615507,1454,809335
2021-02-23,502432,50119355,25051385,73,864446,2328,1034585
2021-02-24,505642,51363520,26294065,74,1244165,3210,1242680
2021-02-25,508107,52899249,27645539,75,1535729,2465,1351474
2021-02-26,510283,54568528,29040426,76,1669279,2176,1394887
2021-02-27,511850,55705443,29864103,77,1136915,1567,823677
2021-02-28,512979,56236747,30163870,78,531304,1129,299767
2021-03-01,514404,57457783,30976924,79,1221036,1425,813054
2021-03-02,515710,58922002,31947383,80,1464219,1306,970459
2021-03-03,518079,60664565,33083812,81,1742563,2369,1136429
2021-03-04,520028,62620210,34337816,82,1955645,1949,1254004
2021-03-05,522511,64626215,35659038,83,2006005,2483,1321222
2021-03-06,523970,65977094,36532157,84,1350879,1459,873119
2021-03-07,524646,66654619,36884011,85,677525,676,351854
2021-03-08,525466,68136544,37748021,86,1481925,820,864010
2021-03-09,527351,69949085,38844767,87,1812541,1885,1096746
2021-03-10,528825,72021699,40128395,88,2072614,1474,1283628
2021-03-11,530349,74317090,41541840,89,2295391,1524,1413445
2021-03-12,532054,76452204,43084511,90,2135114,1705,1542671
2021-03-13,533928,77839621,44116183,91,1387417,1874,1031672
2021-03-14,534497,78486481,44548562,92,646860,569,432379
2021-03-15,535250,79982982,45428572,93,1496501,753,880010
2021-03-16,536494,81916720,46492000,94,1933738,1244,1063428
2021-03-17,537671,84047509,47637696,95,2130789,1177,1145696
2021-03-18,539229,86339652,48855798,96,2292143,1558,1218102
2021-03-19,540743,88544162,50088903,97,2204510,1514,1233105
2021-03-20,541515,89962203,50955635,98,1418041,772,866732
2021-03-21,541963,90645717,51336336,99,683514,448,380701
2021-03-22,542611,92245549,52151397,100,1599832,648,815061
2021-03-23,543504,94223506,53312733,101,1977957,893,1161336
2021-03-24,545094,96427827,54747062,102,2204321,1590,1434329
2021-03-25,546364,98683388,56407425,103,2255561,1270,1660363
2021-03-26,547624,100771604,58221293,104,2088216,1260,1813868
2021-03-27,548404,102142533,59391813,105,1370929,780,1170520
2021-03-28,548894,102813395,59944968,106,670862,490,553155
2021-03-29,549579,104418326,61229018,107,1604931,685,1284050
2021-03-30,550526,106428542,62900117,108,2010216,947,1671099
2021-03-31,551661,108836606,64852669,109,2408064,1135,1952552
2021-04-01,552618,111366707,67123179,110,2530101,957,2270510
2021-04-02,553574,113410787,68954015,111,2044080,956,1830836
2021-04-03,554327,114735732,70118739,112,1324945,753,1164724
2021-04-04,554599,115173732,70491683,113,438000,272,372944
2021-04-05,555129,116907607,72099738,114,1733875,530,1608055
2021-04-06,556038,119190986,74190247,115,2283379,909,2090509
2021-04-07,558609,121749584,76507143,116,2558598,2571,2316896
2021-04-08,559611,124309301,79041912,117,2559717,1002,2534769
2021-04-09,560557,126741072,81496071,118,2431771,946,2454159
2021-04-10,561261,128465664,83163225,119,1724592,704,1667154
2021-04-11,561562,129298792,83968805,120,833128,301,805580
2021-04-12,562027,130941481,85698935,121,1642689,465,1730130
2021-04-13,563010,132687710,87421998,122,1746229,983,1723063
2021-04-14,563945,134425980,89353466,123,1738270,935,1931468
2021-04-15,564862,136188957,91307354,124,1762977,917,1953888
2021-04-16,565797,137840787,93232139,125,1651830,935,1924785
2021-04-17,566474,139003409,94417981,126,1162622,677,1185842
2021-04-18,566832,139542431,95002531,127,539022,358,584550
2021-04-19,567317,140634414,96470704,128,1091983,485,1468173
2021-04-20,568149,142000331,98309408,129,1365917,832,1838704
2021-04-21,568989,143392407,100367926,130,1392076,840,2058518
2021-04-22,569900,144807065,102425820,131,1414658,911,2057894
2021-04-23,570773,146175661,104335708,132,1368596,873,1909888
2021-04-24,571498,147178664,105531936,133,1003003,725,1196228
2021-04-25,571780,147668988,106030337,134,490324,282,498401
2021-04-26,572259,148611252,107469048,135,942264,479,1438711
2021-04-27,572972,149725077,109263630,136,1113825,713,1794582
2021-04-28,573906,150875472,111234752,137,1150395,934,1971122
2021-04-29,574780,151999126,113220949,138,1123654,874,1986197
2021-04-30,575640,153123692,115074274,139,1124566,860,1853325
2021-05-01,576355,153838605,116251632,140,714913,715,1177358
2021-05-02,576667,154165237,116839223,141,326632,312,587591
2021-05-03,577126,154809400,118243372,142,644163,459,1404149
2021-05-04,578030,155630438,120005585,143,821038,904,1762213
2021-05-05,578806,156451090,121821713,144,820652,776,1816128
2021-05-06,579638,157234158,123648270,145,783068,832,1826557
2021-05-07,580450,158034336,125444391,146,800178,812,1796121
2021-05-08,581054,158540883,126539674,147,506547,604,1095283
2021-05-09,581300,158745361,126979633,148,204478,246,439959
2021-05-10,581670,159229735,128159666,149,484374,370,1180033
2021-05-11,582363,159888862,129618664,150,659127,693,1458998
2021-05-12,583211,160535042,131065693,151,646180,848,1447029
2021-05-13,583991,161465741,132482306,152,930699,780,1416613
2021-05-14,584723,162562974,133928070,153,1097233,732,1445764
2021-05-15,585282,163474883,134926393,154,911909,559,998323
2021-05-16,585574,163954568,135415319,155,479685,292,488926
2021-05-17,585958,164844565,136432625,156,889997,384,1017306
2021-05-18,586825,165840096,137604156,157,995531,867,1171531
2021-05-19,587500,166830923,138790490,158,990827,675,1186334
2021-05-20,588154,167754807,139975587,159,923884,654,1185097
2021-05-21,588850,168690189,141191057,160,935382,696,1215470
2021-05-22,589329,169421660,141967984,161,731471,479,776927
2021-05-23,589518,169761157,142316361,162,339497,189,348377
2021-05-24,589935,170398835,143073807,163,637678,417,757446
2021-05-25,590635,171069780,143919341,164,670945,700,845534
2021-05-26,591601,171734539,144764763,165,664759,966,845422
2021-05-27,592942,172352403,145570383,166,617864,1341,805620
2021-05-28,593701,172962731,146363892,167,610328,759,793509
2021-05-29,594040,173347140,146787772,168,384409,339,423880
2021-05-30,594171,173548922,146993999,169,201782,131,206227
2021-05-31,594321,173638666,147117126,170,89744,150,123127
2021-06-01,594841,174171253,147911971,171,532587,520,794845
2021-06-02,595435,174667929,148600173,172,496676,594,688202
2021-06-03,596051,175132902,149447706,173,464973,616,847533
2021-06-04,596190,175635124,150419130,174,502222,139,971424
2021-06-05,596565,175990760,151178104,175,355636,375,758974
2021-06-06,596817,176162803,151544876,176,172043,252,366772
2021-06-07,597153,176537052,152293833,177,374249,336,748957
2021-06-08,597528,176941527,153119134,178,404475,375,825301
2021-06-09,598100,177334244,153947620,179,392717,572,828486
2021-06-10,598560,177739683,154769267,180,405439,460,821647
2021-06-11,599077,178168641,155631661,181,428958,517,862394
2021-06-12,599247,178450294,156279042,182,281653,170,647381
2021-06-13,599342,178563805,156577925,183,113511,95,298883
2021-06-14,599552,178896548,157203653,184,332743,210,625728
2021-06-15,600004,179257897,157870547,185,361349,452,666894
2021-06-16,600428,179616231,158507464,186,358334,424,636917
