Country/Region,year_month,total_case
Canada,2020/01/01,30
Canada,2020/02/01,337
Canada,2020/03/01,72826
Canada,2020/04/01,1016048
Canada,2020/05/01,2384326
Canada,2020/06/01,2982234
Canada,2020/07/01,3418808
Canada,2020/08/01,3808437
Canada,2020/09/01,4284119
Canada,2020/10/01,6155922
Canada,2020/11/01,9182204
Canada,2020/12/01,15153799
Canada,2021/01/01,21779347
Canada,2021/02/01,23248539
Canada,2021/03/01,28672550
Canada,2021/04/01,33348652
Canada,2021/05/01,41156496
Canada,2021/06/01,42234449
Canada,2021/07/01,44231441
Canada,2021/08/01,45366522
Canada,2021/09/01,46997021
Canada,2021/10/01,52116940
Canada,2021/11/01,52773452
Canada,2021/12/01,59413680
Canada,2022/01/01,85038693
Canada,2022/02/01,89910313
Canada,2022/03/01,105186211
Canada,2022/04/01,108835539
Canada,2022/05/01,118945688
Canada,2022/06/01,117723514
Canada,2022/07/01,124766762
Canada,2022/08/01,128606498
Canada,2022/09/01,127179974
Canada,2022/10/01,134088339
Canada,2022/11/01,132242750
Canada,2022/12/01,138756017
Canada,2023/01/01,140728171
Canada,2023/02/01,128381369
Canada,2023/03/01,41494298
China,2020/01/01,38008
China,2020/02/01,1633361
China,2020/03/01,2516737
China,2020/04/01,2570262
China,2020/05/01,2700525
China,2020/06/01,2636125
China,2020/07/01,2768931
China,2020/08/01,2892621
China,2020/09/01,2848365
China,2020/10/01,2984648
China,2020/11/01,2944668
China,2020/12/01,3131980
China,2021/01/01,3259359
China,2021/02/01,3037972
China,2021/03/01,3397507
China,2021/04/01,3322663
China,2021/05/01,3465053
China,2021/06/01,3389026
China,2021/07/01,3545292
China,2021/08/01,3627610
China,2021/09/01,3565096
China,2021/10/01,3734217
China,2021/11/01,3681665
China,2021/12/01,3887958
China,2022/01/01,4071560
China,2022/02/01,4942346
China,2022/03/01,32761294
China,2022/04/01,51855197
China,2022/05/01,64338423
China,2022/06/01,63350507
China,2022/07/01,67930770
China,2022/08/01,73302879
China,2022/09/01,79651489
China,2022/10/01,88416725
China,2022/11/01,97150301
China,2022/12/01,130356461
China,2023/01/01,149669307
China,2023/02/01,137298468
China,2023/03/01,44131716
Singapore,2020/01/01,53
Singapore,2020/02/01,1795
Singapore,2020/03/01,11276
Singapore,2020/04/01,188949
Singapore,2020/05/01,824865
Singapore,2020/06/01,1210239
Singapore,2020/07/01,1472037
Singapore,2020/08/01,1719511
Singapore,2020/09/01,1721643
Singapore,2020/10/01,1794938
Singapore,2020/11/01,1743530
Singapore,2020/12/01,1809806
Singapore,2021/01/01,1831362
Singapore,2021/02/01,1673891
Singapore,2021/03/01,1864345
Singapore,2021/04/01,1822946
Singapore,2021/05/01,1909452
Singapore,2021/06/01,1870159
Singapore,2021/07/01,1963314
Singapore,2021/08/01,2053482
Singapore,2021/09/01,2310010
Singapore,2021/10/01,4539733
Singapore,2021/11/01,7138631
Singapore,2021/12/01,8498438
Singapore,2022/01/01,9362272
Singapore,2022/02/01,14378659
Singapore,2022/03/01,29613458
Singapore,2022/04/01,34613453
Singapore,2022/05/01,38685541
Singapore,2022/06/01,40835061
Singapore,2022/07/01,49165286
Singapore,2022/08/01,55587647
Singapore,2022/09/01,56133113
Singapore,2022/10/01,62292155
Singapore,2022/11/01,64290417
Singapore,2022/12/01,67781785
Singapore,2023/01/01,68550314
Singapore,2023/02/01,62199304
Singapore,2023/03/01,20086664
US,2020/01/01,41
US,2020/02/01,402
US,2020/03/01,1121455
US,2020/04/01,19983914
US,2020/05/01,45432591
US,2020/06/01,64910200
US,2020/07/01,111255515
US,2020/08/01,166653998
US,2020/09/01,199771381
US,2020/10/01,251604728
US,2020/11/01,339249441
US,2020/12/01,529043164
US,2021/01/01,734474008
US,2021/02/01,777334442
US,2021/03/01,920129602
US,2021/04/01,948157368
US,2021/05/01,1023826805
US,2021/06/01,1008143179
US,2021/07/01,1061675346
US,2021/08/01,1151301238
US,2021/09/01,1250599868
US,2021/10/01,1393283678
US,2021/11/01,1420336531
US,2021/12/01,1579026867
US,2022/01/01,2047171436
US,2022/02/01,2181001669
US,2022/03/01,2472250584
US,2022/04/01,2423243393
US,2022/05/01,2568752098
US,2022/06/01,2581807610
US,2022/07/01,2775400123
US,2022/08/01,2886562865
US,2022/09/01,2865642242
US,2022/10/01,3005527177
US,2022/11/01,2944637408
US,2022/12/01,3094723993
US,2023/01/01,3152507640
US,2023/02/01,2883665353
US,2023/03/01,932975053
United Kingdom,2020/01/01,2
United Kingdom,2020/02/01,606
United Kingdom,2020/03/01,283038
United Kingdom,2020/04/01,3327711
United Kingdom,2020/05/01,7016557
United Kingdom,2020/06/01,8213221
United Kingdom,2020/07/01,9120257
United Kingdom,2020/08/01,9933491
United Kingdom,2020/09/01,11564426
United Kingdom,2020/10/01,22002414
United Kingdom,2020/11/01,40830436
United Kingdom,2020/12/01,61362446
United Kingdom,2021/01/01,102179530
United Kingdom,2021/02/01,113211317
United Kingdom,2021/03/01,132721896
United Kingdom,2021/04/01,131951848
United Kingdom,2021/05/01,138435305
United Kingdom,2021/06/01,138638473
United Kingdom,2021/07/01,166199190
United Kingdom,2021/08/01,196641574
United Kingdom,2021/09/01,220800873
United Kingdom,2021/10/01,262406318
United Kingdom,2021/11/01,290649419
United Kingdom,2021/12/01,351564125
United Kingdom,2022/01/01,472002950
United Kingdom,2022/02/01,515695081
United Kingdom,2022/03/01,622766249
United Kingdom,2022/04/01,656437035
United Kingdom,2022/05/01,693575578
United Kingdom,2022/06/01,679661493
United Kingdom,2022/07/01,720832318
United Kingdom,2022/08/01,732943770
United Kingdom,2022/09/01,713873714
United Kingdom,2022/10/01,744490822
United Kingdom,2022/11/01,725591181
United Kingdom,2022/12/01,753615408
United Kingdom,2023/01/01,758377658
United Kingdom,2023/02/01,687682836
United Kingdom,2023/03/01,221671113
